communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
天宁寺西里,北京市西城区天宁寺前街天宁寺西里,4,西城区,110102,1978, ,54475.64,1.8,1,华北电力,30,803,10,85761, ,住宅,116.3376442,39.89235142
广义街10号院,北京市西城区广义街10号院,4,西城区,110102,2000,150,20588.87,2,2,无,30,240,5,92721, ,住宅,116.3513676,39.89021425
莲花池东路24号院,北京市西城区莲花池东路24号院,4,西城区,110102,2000,86,16429.62,1.36,1,电信局,30,552,4,83400, ,住宅,116.3325824,39.89537419
仁和花园一区,北京市顺义区顺泰路仁和花园一区,12,顺义区,110113,2009,2523,584616.12,3.5,0.8,无, ,2659,18,39203, ,住宅,116.6782252,40.1092258
广安苑小区,北京市西城区广安门车站东街甲13号广安苑小区,4,西城区,110102,2002,396,78010.41,6.44,0,北京住总集团责任有限公司,30,326,2,96789, ,住宅,116.3382914,39.88520741
广安苑二期,北京市西城区北四环西路广安苑二期,4,西城区,110102,2002,360,46973.5,2.6,0,北京住总集团责任有限公司,20,494,2,96016, ,住宅,116.3387433,39.88283862
白菜湾四巷17号院,北京市西城区白菜湾四巷17号院,4,西城区,110102,1988,50,49054.75,2,0.55,无,33,396,5,98912, ,住宅,116.3414433,39.88329504
云和公寓,北京市西城区广安门南街28号云和公寓,4,西城区,110102,2001,129,24592.19,1.8,3,北京市宣武区房地产经营开发公司,30,159,2,81719, ,住宅,116.3446015,39.87992282
南横西街小区,北京市西城区南横西街小区,4,西城区,110102,1978,100,9667.61,1.2,0,北京宣兴房地产开发股份有限公司,30,96,3,90685, ,住宅,116.3578606,39.88124526
中信沁园,北京市西城区菜市口大街甲2号中信沁园,4,西城区,110102,2011,1359,124522.7,2.75,3.6,北京中信房地产有限公司,30,1326,12,150539, ,住宅,116.3702063,39.88442581
京通苑,北京市朝阳区朝阳路京通苑,5,朝阳区,110105,2004,1300,327304.47,2.4,0.65,华润置地(北京)股份有限公司,33,3896,31,42716, ,住宅,116.5910215,39.91280713
朝阳无限,北京市朝阳区朝阳路朝阳无限,5,朝阳区,110105,2001,600,176299.15,3.2,1.92,华森房地产开发公司,38,2020,11,58999, ,住宅,116.5057383,39.91643632
怡海花园富润园,北京市丰台区南四环西路129号怡海花园富润园,6,丰台区,110106,2001,1700,201206.6,2.25,2.1,北京怡海房地产开发有限公司,46,1614,11,60213, ,住宅,116.2953393,39.83042126
樱桃园,北京市西城区樱桃二条樱桃园,4,西城区,110102,2004,20,57962.7,3.39,1.88,北京市陶然房地产公司,30,45,3,58942, ,住宅,116.3565359,39.87934973
西便门外大街4号院,北京市西城区西便门外大街4号院,4,西城区,110102,1955,99,88833.07,5.14,2.6,中国铁道建筑总公司,25,668,6,132203, ,住宅,116.3474576,39.90227458
物资部大院,北京市西城区月坛北街25号物资部大院,4,西城区,110102,1960,800,102419.42,1,0.5,无,20,1182,38,115285, ,住宅,116.3307167,39.91882712
南营房一区,北京市西城区月坛北街南营房一区,4,西城区,110102,2000,194,10831.9,1.3,0.6,北京市东开城市建设综合开发公司,30,260,2,107991, ,住宅,116.3440433,39.91878843
